	anio	categoria_edad	count
0	2000	Menor de 1 año	15
1	2000	De 1 a 4 años	95
2	2000	De 5 a 14 años	537
3	2000	De 15 a 44 años	26931
4	2000	De 45 a 64 años	4325
5	2000	De 65 y mas años	1568
6	2001	Menor de 1 año	15
7	2001	De 1 a 4 años	97
8	2001	De 5 a 14 años	535
9	2001	De 15 a 44 años	28088
10	2001	De 45 a 64 años	4324
11	2001	De 65 y mas años	1466
16	2002	De 45 a 64 años	4556
15	2002	De 15 a 44 años	29259
17	2002	De 65 y mas años	1482
13	2002	De 1 a 4 años	98
12	2002	Menor de 1 año	13
14	2002	De 5 a 14 años	594
18	2003	De 1 a 4 años	45
19	2003	De 5 a 14 años	362
20	2003	De 15 a 44 años	22556
21	2003	De 45 a 64 años	3658
22	2003	De 65 y mas años	1245
28	2004	De 65 y mas años	1449
27	2004	De 45 a 64 años	3705
26	2004	De 15 a 44 años	21095
25	2004	De 5 a 14 años	404
23	2004	Menor de 1 año	2
24	2004	De 1 a 4 años	79
29	2005	De 1 a 4 años	68
30	2005	De 5 a 14 años	347
31	2005	De 15 a 44 años	18288
32	2005	De 45 a 64 años	3216
33	2005	De 65 y mas años	1384
38	2006	De 65 y mas años	1274
37	2006	De 45 a 64 años	3246
34	2006	De 1 a 4 años	55
35	2006	De 5 a 14 años	353
36	2006	De 15 a 44 años	17717
39	2007	Menor de 1 año	17
40	2007	De 1 a 4 años	82
41	2007	De 5 a 14 años	352
42	2007	De 15 a 44 años	17337
43	2007	De 45 a 64 años	3114
44	2007	De 65 y mas años	1178
50	2009	De 65 y mas años	1106
49	2009	De 45 a 64 años	3334
48	2009	De 15 a 44 años	18609
45	2009	Menor de 1 año	61
46	2009	De 1 a 4 años	93
47	2009	De 5 a 14 años	419
56	2010	De 65 y mas años	1051
55	2010	De 45 a 64 años	3161
54	2010	De 15 a 44 años	17521
52	2010	De 1 a 4 años	80
51	2010	Menor de 1 año	43
53	2010	De 5 a 14 años	465
57	2011	Menor de 1 año	48
58	2011	De 1 a 4 años	77
59	2011	De 5 a 14 años	374
60	2011	De 15 a 44 años	16065
61	2011	De 45 a 64 años	2989
62	2011	De 65 y mas años	1049
67	2012	De 45 a 64 años	3043
63	2012	Menor de 1 año	41
64	2012	De 1 a 4 años	71
65	2012	De 5 a 14 años	378
66	2012	De 15 a 44 años	15154
68	2012	De 65 y mas años	1136
