id,parent,label,type,code,value
0,,datos.gov.co,center,0,7266
cat_1,0,Ambiente y Desarrollo Sostenible,category,cat_1,268
cat_10,0,"Comercio, Industria y Turismo",category,cat_10,321
cat_10dama,cat_10,Amazonas,depto,dama,4
cat_10dant,cat_10,Antioquia,depto,dant,12
cat_10darc,cat_10,"Archipiélago de San Andrés, Providencia y Santa Catalina",depto,darc,8
cat_10datl,cat_10,Atlántico,depto,datl,15
cat_10dbog,cat_10,Bogotá D.C.,depto,dbog,38
cat_10dbol,cat_10,Bolívar,depto,dbol,1
cat_10dboy,cat_10,Boyacá,depto,dboy,23
cat_10dcal,cat_10,Caldas,depto,dcal,3
cat_10dcaq,cat_10,Caquetá,depto,dcaq,3
cat_10dcas,cat_10,Casanare,depto,dcas,25
cat_10dcau,cat_10,Cauca,depto,dcau,2
cat_10dces,cat_10,Cesar,depto,dces,5
cat_10dcho,cat_10,Chocó,depto,dcho,1
cat_10dcór,cat_10,Córdoba,depto,dcór,2
cat_10dcun,cat_10,Cundinamarca,depto,dcun,39
cat_10dgua,cat_10,Guaviare,depto,dgua,2
cat_10dhui,cat_10,Huila,depto,dhui,1
cat_10dla ,cat_10,La Guajira,depto,dla ,1
cat_10dmet,cat_10,Meta,depto,dmet,11
cat_10dnar,cat_10,Nariño,depto,dnar,4
cat_10dnor,cat_10,Norte de Santander,depto,dnor,4
cat_10dput,cat_10,Putumayo,depto,dput,1
cat_10dqui,cat_10,Quindío,depto,dqui,4
cat_10dris,cat_10,Risaralda,depto,dris,16
cat_10dsan,cat_10,Santander,depto,dsan,5
cat_10dsuc,cat_10,Sucre,depto,dsuc,3
cat_10dtol,cat_10,Tolima,depto,dtol,50
cat_10dval,cat_10,Valle del Cauca,depto,dval,38
cat_11,0,,category,cat_11,271
cat_11dama,cat_11,Amazonas,depto,dama,1
cat_11dant,cat_11,Antioquia,depto,dant,33
cat_11datl,cat_11,Atlántico,depto,datl,9
cat_11dbog,cat_11,Bogotá D.C.,depto,dbog,51
cat_11dbol,cat_11,Bolívar,depto,dbol,1
cat_11dboy,cat_11,Boyacá,depto,dboy,24
cat_11dcal,cat_11,Caldas,depto,dcal,2
cat_11dcaq,cat_11,Caquetá,depto,dcaq,8
cat_11dcas,cat_11,Casanare,depto,dcas,10
cat_11dcau,cat_11,Cauca,depto,dcau,2
cat_11dces,cat_11,Cesar,depto,dces,1
cat_11dcho,cat_11,Chocó,depto,dcho,1
cat_11dcór,cat_11,Córdoba,depto,dcór,2
cat_11dcun,cat_11,Cundinamarca,depto,dcun,36
cat_11dgua,cat_11,Guainía,depto,dgua,1
cat_11dhui,cat_11,Huila,depto,dhui,1
cat_11dla ,cat_11,La Guajira,depto,dla ,4
cat_11dmag,cat_11,Magdalena,depto,dmag,1
cat_11dmet,cat_11,Meta,depto,dmet,8
cat_11dnar,cat_11,Nariño,depto,dnar,10
cat_11dnor,cat_11,Norte de Santander,depto,dnor,4
cat_11dput,cat_11,Putumayo,depto,dput,1
cat_11dqui,cat_11,Quindío,depto,dqui,2
cat_11dris,cat_11,Risaralda,depto,dris,8
cat_11dsan,cat_11,Santander,depto,dsan,21
cat_11dtol,cat_11,Tolima,depto,dtol,6
cat_11dval,cat_11,Valle del Cauca,depto,dval,19
cat_11dvic,cat_11,Vichada,depto,dvic,1
cat_12,0,Mapas Nacionales,category,cat_12,144
cat_12dama,cat_12,Amazonas,depto,dama,2
cat_12dant,cat_12,Antioquia,depto,dant,1
cat_12darc,cat_12,"Archipiélago de San Andrés, Providencia y Santa Catalina",depto,darc,2
cat_12datl,cat_12,Atlántico,depto,datl,5
cat_12dbog,cat_12,Bogotá D.C.,depto,dbog,34
cat_12dboy,cat_12,Boyacá,depto,dboy,2
cat_12dcal,cat_12,Caldas,depto,dcal,1
cat_12dcas,cat_12,Casanare,depto,dcas,1
cat_12dces,cat_12,Cesar,depto,dces,2
cat_12dnar,cat_12,Nariño,depto,dnar,1
cat_12dnor,cat_12,Norte de Santander,depto,dnor,1
cat_12dsan,cat_12,Santander,depto,dsan,2
cat_12dtol,cat_12,Tolima,depto,dtol,1
cat_12dval,cat_12,Valle del Cauca,depto,dval,9
cat_13,0,Ordenamiento Territorial,category,cat_13,237
cat_13dama,cat_13,Amazonas,depto,dama,4
cat_13dant,cat_13,Antioquia,depto,dant,14
cat_13dara,cat_13,Arauca,depto,dara,9
cat_13datl,cat_13,Atlántico,depto,datl,10
cat_13dbog,cat_13,Bogotá D.C.,depto,dbog,10
cat_13dbol,cat_13,Bolívar,depto,dbol,3
cat_13dboy,cat_13,Boyacá,depto,dboy,8
cat_13dcal,cat_13,Caldas,depto,dcal,6
cat_13dcas,cat_13,Casanare,depto,dcas,4
cat_13dcau,cat_13,Cauca,depto,dcau,1
cat_13dces,cat_13,Cesar,depto,dces,1
cat_13dcun,cat_13,Cundinamarca,depto,dcun,5
cat_13dgua,cat_13,Guaviare,depto,dgua,2
cat_13dhui,cat_13,Huila,depto,dhui,6
cat_13dla ,cat_13,La Guajira,depto,dla ,1
cat_13dmag,cat_13,Magdalena,depto,dmag,4
cat_13dmet,cat_13,Meta,depto,dmet,8
cat_13dnar,cat_13,Nariño,depto,dnar,10
cat_13dnor,cat_13,Norte de Santander,depto,dnor,16
cat_13dput,cat_13,Putumayo,depto,dput,3
cat_13dqui,cat_13,Quindío,depto,dqui,2
cat_13dris,cat_13,Risaralda,depto,dris,3
cat_13dsan,cat_13,Santander,depto,dsan,3
cat_13dsuc,cat_13,Sucre,depto,dsuc,1
cat_13dtol,cat_13,Tolima,depto,dtol,12
cat_13dval,cat_13,Valle del Cauca,depto,dval,78
cat_14,0,Gastos Gubernamentales,category,cat_14,117
cat_14dant,cat_14,Antioquia,depto,dant,17
cat_14dara,cat_14,Arauca,depto,dara,2
cat_14datl,cat_14,Atlántico,depto,datl,1
cat_14dbog,cat_14,Bogotá D.C.,depto,dbog,70
cat_14dboy,cat_14,Boyacá,depto,dboy,2
cat_14dcal,cat_14,Caldas,depto,dcal,1
cat_14dcau,cat_14,Cauca,depto,dcau,1
cat_14dgua,cat_14,Guaviare,depto,dgua,1
cat_14dmet,cat_14,Meta,depto,dmet,3
cat_14dnar,cat_14,Nariño,depto,dnar,1
cat_14dput,cat_14,Putumayo,depto,dput,1
