source,target,value
cat_2,o298,1
cat_7,o85,1
cat_5,o704,1
cat_7,o97,3
cat_5,o609,1
cat_5,o383,3
cat_25,o358,1
cat_18,o883,1
cat_21,o451,2
cat_7,o45,2
cat_19,o407,1
cat_13,o86,1
cat_18,o43,3
cat_26,o8,98
cat_21,o165,2
cat_28,o520,1
cat_4,o336,2
cat_15,o137,1
cat_5,o15,1
cat_4,o407,1
cat_25,o392,1
cat_2,o61,3
cat_17,o753,1
cat_2,o373,2
cat_13,o16,3
cat_5,o180,1
cat_22,o91,1
cat_5,o826,1
cat_15,o161,2
cat_19,o69,1
cat_26,o166,1
cat_10,o46,10
cat_4,o347,1
cat_7,o307,4
cat_21,o862,1
cat_2,o911,1
cat_5,o619,1
cat_7,o625,1
cat_4,o69,6
cat_25,o872,1
cat_4,o834,1
cat_10,o269,2
cat_1,o320,2
cat_2,o283,1
cat_20,o40,1
cat_4,o403,1
cat_2,o17,60
cat_6,o100,1
cat_22,o558,2
cat_7,o237,2
cat_5,o752,1
cat_5,o344,1
cat_28,o711,1
cat_16,o65,3
cat_17,o893,1
cat_28,o61,1
cat_5,o53,1
cat_5,o1,8
cat_15,o254,6
cat_10,o314,5
cat_4,o708,1
cat_7,o519,2
cat_16,o339,2
cat_10,o107,1
cat_16,o237,5
cat_2,o362,1
cat_19,o409,1
cat_2,o597,1
cat_18,o119,1
cat_21,o239,4
cat_7,o65,3
cat_16,o265,6
cat_18,o240,1
cat_12,o128,1
cat_18,o10,38
cat_7,o81,2
cat_28,o133,2
cat_25,o135,1
cat_28,o660,1
cat_17,o13,53
cat_25,o137,2
cat_15,o469,2
cat_27,o22,3
cat_2,o127,2
cat_2,o49,1
cat_4,o267,1
cat_1,o369,1
cat_13,o776,1
cat_10,o121,1
cat_1,o360,2
cat_2,o156,3
cat_10,o173,1
cat_14,o554,1
cat_1,o421,2
cat_15,o98,1
cat_18,o492,1
cat_7,o142,1
cat_7,o250,1
cat_28,o287,1
cat_27,o289,6
cat_7,o22,1
cat_15,o144,1
cat_21,o16,1
cat_4,o159,3
cat_2,o52,2
cat_4,o881,1
cat_2,o26,6
cat_5,o566,1
cat_2,o51,2
cat_25,o161,1
cat_4,o24,44
cat_4,o461,1
cat_4,o751,1
cat_7,o470,2
cat_1,o96,2
cat_17,o186,1
cat_19,o312,3
cat_28,o127,1
cat_28,o49,2
cat_5,o628,2
cat_5,o90,1
cat_16,o38,1
cat_18,o216,3
cat_26,o666,1
cat_7,o435,1
cat_6,o29,1
cat_18,o598,2
cat_20,o68,1
cat_8,o72,1
cat_17,o129,1
cat_7,o242,1
cat_2,o287,2
cat_25,o84,4
cat_7,o57,2
cat_10,o316,2
cat_17,o231,1
cat_12,o167,1
cat_21,o653,1
cat_4,o302,1
cat_4,o706,1
cat_4,o856,1
cat_25,o174,9
cat_4,o253,1
cat_7,o38,4
cat_28,o26,1
cat_7,o378,1
cat_22,o279,1
cat_3,o64,1
cat_2,o168,1
cat_16,o319,1
cat_22,o388,1
cat_4,o588,2
cat_4,o268,1
cat_2,o93,7
cat_21,o680,1
cat_4,o405,1
cat_2,o121,4
cat_7,o428,1
cat_7,o379,2
cat_28,o364,1
cat_2,o297,5
cat_7,o79,8
cat_18,o315,2
cat_25,o664,1
cat_15,o35,1
cat_10,o188,4
cat_4,o246,2
cat_26,o5,1
cat_25,o208,1
cat_24,o97,1
cat_4,o348,2
cat_15,o104,1
cat_27,o79,1
cat_2,o47,2
cat_22,o184,1
cat_28,o316,1
cat_25,o673,1
cat_7,o7,105
cat_18,o163,1
cat_7,o286,1
cat_4,o209,1
cat_7,o186,1
cat_15,o73,2
cat_4,o192,3
cat_4,o549,2
cat_24,o584,2
cat_4,o212,8
cat_25,o276,1
cat_1,o83,3
cat_5,o268,1
cat_2,o904,1
cat_28,o173,2
cat_19,o534,1
cat_27,o50,24
cat_9,o473,1
cat_25,o42,4
cat_3,o183,1
cat_7,o231,1
cat_18,o123,1
cat_26,o41,6
cat_1,o68,1
cat_7,o37,24
cat_5,o312,1
cat_25,o447,1
cat_7,o95,1
cat_15,o128,1
cat_22,o566,1
cat_13,o101,1
cat_13,o244,3
cat_7,o564,1
cat_6,o518,2
cat_10,o195,2
cat_21,o78,4
cat_1,o303,1
cat_13,o63,1
cat_24,o250,1
cat_10,o61,1
cat_25,o35,2
cat_13,o64,2
cat_24,o22,1
cat_1,o41,1
cat_10,o441,1
cat_2,o657,1
cat_22,o1,14
cat_22,o53,1
