month_fmt,month,temp,tma_6,tma_60,tma_132
1880/01/01,1880-01-01,-0.29,-0.29,-0.29,-0.29
1880/02/01,1880-02-01,-0.18,-0.235,-0.235,-0.235
1880/03/01,1880-03-01,-0.11,-0.1933333333,-0.1933333333,-0.1933333333
1880/04/01,1880-04-01,-0.19,-0.1925,-0.1925,-0.1925
1880/05/01,1880-05-01,-0.11,-0.176,-0.176,-0.176
1880/06/01,1880-06-01,-0.23,-0.185,-0.185,-0.185
1880/07/01,1880-07-01,-0.2,-0.1871428571,-0.1871428571,-0.1871428571
1880/08/01,1880-08-01,-0.09,-0.1585714286,-0.175,-0.175
1880/09/01,1880-09-01,-0.15,-0.1542857143,-0.1722222222,-0.1722222222
1880/10/01,1880-10-01,-0.23,-0.1714285714,-0.178,-0.178
1880/11/01,1880-11-01,-0.19,-0.1714285714,-0.1790909091,-0.1790909091
1880/12/01,1880-12-01,-0.22,-0.1871428571,-0.1825,-0.1825
1881/01/01,1881-01-01,-0.15,-0.1757142857,-0.18,-0.18
1881/02/01,1881-02-01,-0.17,-0.1714285714,-0.1792857143,-0.1792857143
1881/03/01,1881-03-01,0.04,-0.1528571429,-0.1646666667,-0.1646666667
1881/04/01,1881-04-01,0.04,-0.1257142857,-0.151875,-0.151875
1881/05/01,1881-05-01,0.02,-0.09,-0.1417647059,-0.1417647059
1881/06/01,1881-06-01,-0.2,-0.09142857143,-0.145,-0.145
1881/07/01,1881-07-01,-0.06,-0.06857142857,-0.1405263158,-0.1405263158
1881/08/01,1881-08-01,-0.02,-0.05,-0.1345,-0.1345
1881/09/01,1881-09-01,-0.13,-0.04428571429,-0.1342857143,-0.1342857143
1881/10/01,1881-10-01,-0.21,-0.08,-0.1377272727,-0.1377272727
1881/11/01,1881-11-01,-0.21,-0.1157142857,-0.1408695652,-0.1408695652
1881/12/01,1881-12-01,-0.11,-0.1342857143,-0.1395833333,-0.1395833333
1882/01/01,1882-01-01,0.14,-0.08571428571,-0.1284,-0.1284
1882/02/01,1882-02-01,0.15,-0.05571428571,-0.1176923077,-0.1176923077
1882/03/01,1882-03-01,0.04,-0.04714285714,-0.1118518519,-0.1118518519
1882/04/01,1882-04-01,-0.19,-0.05571428571,-0.1146428571,-0.1146428571
1882/05/01,1882-05-01,-0.16,-0.04857142857,-0.1162068966,-0.1162068966
1882/06/01,1882-06-01,-0.26,-0.05571428571,-0.121,-0.121
1882/07/01,1882-07-01,-0.21,-0.07,-0.1238709677,-0.1238709677
1882/08/01,1882-08-01,-0.05,-0.09714285714,-0.1215625,-0.1215625
1882/09/01,1882-09-01,-0.1,-0.1328571429,-0.1209090909,-0.1209090909
1882/10/01,1882-10-01,-0.25,-0.1742857143,-0.1247058824,-0.1247058824
1882/11/01,1882-11-01,-0.16,-0.17,-0.1257142857,-0.1257142857
1882/12/01,1882-12-01,-0.24,-0.1814285714,-0.1288888889,-0.1288888889
1883/01/01,1883-01-01,-0.31,-0.1885714286,-0.1337837838,-0.1337837838
1883/02/01,1883-02-01,-0.39,-0.2142857143,-0.1405263158,-0.1405263158
1883/03/01,1883-03-01,-0.13,-0.2257142857,-0.1402564103,-0.1402564103
1883/04/01,1883-04-01,-0.17,-0.2357142857,-0.141,-0.141
1883/05/01,1883-05-01,-0.2,-0.2285714286,-0.1424390244,-0.1424390244
