year,zone,temp
1880,A.90N-64N,-1.13
1880,B.64N-44N,-0.51
1880,C.44N-24N,-0.25
1880,D.24N-EQU,-0.19
1880,F.EQU-24S,-0.1
1880,G.24S-44S,-0.03
1880,H.44S-64S,0.05
1880,I.64S-90S,0.67
1881,A.90N-64N,-1.08
1881,B.64N-44N,-0.51
1881,C.44N-24N,-0.14
1881,D.24N-EQU,0.05
1881,F.EQU-24S,0.09
1881,G.24S-44S,-0.05
1881,H.44S-64S,-0.07
1881,I.64S-90S,0.59
1882,A.90N-64N,-1.65
1882,B.64N-44N,-0.31
1882,C.44N-24N,-0.08
1882,D.24N-EQU,-0.07
1882,F.EQU-24S,-0.03
1882,G.24S-44S,0.04
1882,H.44S-64S,0.04
1882,I.64S-90S,0.63
1883,A.90N-64N,-0.54
1883,B.64N-44N,-0.64
1883,C.44N-24N,-0.21
1883,D.24N-EQU,-0.22
1883,F.EQU-24S,-0.15
1883,G.24S-44S,0
1883,H.44S-64S,0.07
1883,I.64S-90S,0.5
1884,A.90N-64N,-1.49
1884,B.64N-44N,-0.63
1884,C.44N-24N,-0.39
1884,D.24N-EQU,-0.21
1884,F.EQU-24S,-0.17
1884,G.24S-44S,-0.17
1884,H.44S-64S,-0.02
1884,I.64S-90S,0.65
1885,A.90N-64N,-1.32
1885,B.64N-44N,-0.69
1885,C.44N-24N,-0.41
1885,D.24N-EQU,-0.09
1885,F.EQU-24S,-0.2
1885,G.24S-44S,-0.29
1885,H.44S-64S,-0.15
1885,I.64S-90S,0.82
1886,A.90N-64N,-1.39
1886,B.64N-44N,-0.5
1886,C.44N-24N,-0.39
1886,D.24N-EQU,-0.24
1886,F.EQU-24S,-0.24
1886,G.24S-44S,-0.2
1886,H.44S-64S,-0.2
1886,I.64S-90S,0.59
1887,A.90N-64N,-1.69
1887,B.64N-44N,-0.48
1887,C.44N-24N,-0.25
1887,D.24N-EQU,-0.29
1887,F.EQU-24S,-0.32
1887,G.24S-44S,-0.26
1887,H.44S-64S,-0.26
1887,I.64S-90S,0.32
1888,A.90N-64N,-1.59
1888,B.64N-44N,-0.44
1888,C.44N-24N,-0.19
1888,D.24N-EQU,0.09
1888,F.EQU-24S,0.09
1888,G.24S-44S,-0.3
1888,H.44S-64S,-0.23
1888,I.64S-90S,0.16
1889,A.90N-64N,-0.96
1889,B.64N-44N,-0.2
1889,C.44N-24N,-0.19
1889,D.24N-EQU,0.03
1889,F.EQU-24S,0.11
1889,G.24S-44S,-0.14
1889,H.44S-64S,-0.15
1889,I.64S-90S,0.45
1890,A.90N-64N,-1.39
1890,B.64N-44N,-0.55
1890,C.44N-24N,-0.24
1890,D.24N-EQU,-0.31
1890,F.EQU-24S,-0.49
1890,G.24S-44S,-0.16
1890,H.44S-64S,-0.27
1890,I.64S-90S,0.15
1891,A.90N-64N,-1.42
1891,B.64N-44N,-0.31
1891,C.44N-24N,-0.31
1891,D.24N-EQU,-0.02
1891,F.EQU-24S,-0.2
1891,G.24S-44S,-0.16
1891,H.44S-64S,-0.24
1891,I.64S-90S,-0.16
1892,A.90N-64N,-1.42
1892,B.64N-44N,-0.6
1892,C.44N-24N,-0.09
1892,D.24N-EQU,-0.31
1892,F.EQU-24S,-0.27
1892,G.24S-44S,0.03
1892,H.44S-64S,-0.22
1892,I.64S-90S,0.09
1893,A.90N-64N,-1.01
1893,B.64N-44N,-0.51
1893,C.44N-24N,-0.34
1893,D.24N-EQU,-0.4
1893,F.EQU-24S,-0.35
1893,G.24S-44S,0.04
1893,H.44S-64S,-0.21
1893,I.64S-90S,-0.04
1894,A.90N-64N,-1.46
1894,B.64N-44N,-0.27
1894,C.44N-24N,-0.1
1894,D.24N-EQU,-0.47
1894,F.EQU-24S,-0.22
1894,G.24S-44S,-0.16
1894,H.44S-64S,-0.35
1894,I.64S-90S,-0.38
1895,A.90N-64N,-1.02
1895,B.64N-44N,-0.45
1895,C.44N-24N,-0.17
1895,D.24N-EQU,-0.12
1895,F.EQU-24S,-0.02
1895,G.24S-44S,-0.2
1895,H.44S-64S,-0.32
1895,I.64S-90S,-0.58
1896,A.90N-64N,-1.34
1896,B.64N-44N,-0.35
1896,C.44N-24N,-0.13
1896,D.24N-EQU,0.07
1896,F.EQU-24S,0.14
1896,G.24S-44S,-0.15
1896,H.44S-64S,-0.14
1896,I.64S-90S,0.25
1897,A.90N-64N,-0.83
1897,B.64N-44N,-0.39
1897,C.44N-24N,-0.19
1897,D.24N-EQU,0.12
1897,F.EQU-24S,0.18
1897,G.24S-44S,-0.2
1897,H.44S-64S,-0.28
1897,I.64S-90S,0.4
1898,A.90N-64N,-1.25
1898,B.64N-44N,-0.16
1898,C.44N-24N,-0.19
1898,D.24N-EQU,-0.23
1898,F.EQU-24S,-0.29
1898,G.24S-44S,-0.28
1898,H.44S-64S,-0.21
1898,I.64S-90S,0.38
1899,A.90N-64N,-1.12
1899,B.64N-44N,0
1899,C.44N-24N,-0.12
1899,D.24N-EQU,-0.18
1899,F.EQU-24S,-0.11
1899,G.24S-44S,-0.17
1899,H.44S-64S,-0.22
1899,I.64S-90S,0.58
1900,A.90N-64N,-0.66
1900,B.64N-44N,-0.08
1900,C.44N-24N,-0.12
1900,D.24N-EQU,0.09
1900,F.EQU-24S,0.19
1900,G.24S-44S,-0.3
1900,H.44S-64S,-0.29
1900,I.64S-90S,0.27
1901,A.90N-64N,-0.62
1901,B.64N-44N,-0.02
1901,C.44N-24N,-0.06
1901,D.24N-EQU,-0.05
1901,F.EQU-24S,-0.06
1901,G.24S-44S,-0.28
1901,H.44S-64S,-0.34
1901,I.64S-90S,0.26
1902,A.90N-64N,-1.69
1902,B.64N-44N,-0.41
1902,C.44N-24N,-0.31
1902,D.24N-EQU,-0.05
1902,F.EQU-24S,-0.11
1902,G.24S-44S,-0.29
1902,H.44S-64S,-0.43
1902,I.64S-90S,-0.05
1903,A.90N-64N,-0.57
1903,B.64N-44N,-0.38
1903,C.44N-24N,-0.52
1903,D.24N-EQU,-0.25
1903,F.EQU-24S,-0.39
1903,G.24S-44S,-0.37
1903,H.44S-64S,-0.4
1903,I.64S-90S,-0.47
1904,A.90N-64N,-0.35
1904,B.64N-44N,-0.55
1904,C.44N-24N,-0.53
1904,D.24N-EQU,-0.47
1904,F.EQU-24S,-0.55
1904,G.24S-44S,-0.38
1904,H.44S-64S,-0.49
1904,I.64S-90S,-1.29
1905,A.90N-64N,-0.27
1905,B.64N-44N,-0.18
1905,C.44N-24N,-0.58
1905,D.24N-EQU,-0.17
1905,F.EQU-24S,-0.12
1905,G.24S-44S,-0.34
1905,H.44S-64S,-0.37
1905,I.64S-90S,-0.31
1906,A.90N-64N,-0.48
1906,B.64N-44N,0
1906,C.44N-24N,-0.34
